Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
uniform,manhattan,kd_tree,8,171,0.9484324414889965,0.9484473922218872,0.9484356476847658
uniform,manhattan,kd_tree,9,189,0.9434086297417076,0.9430208019294544,0.9428899330654956
uniform,manhattan,kd_tree,10,183,0.9448352544519706,0.9448296653602652,0.9447864555952187
uniform,manhattan,kd_tree,15,193,0.9421963215743538,0.9418148929755803,0.9416812544002149
uniform,manhattan,kd_tree,20,194,0.9416863929772146,0.9415134157371119,0.9414159492389882
uniform,manhattan,kd_tree,25,204,0.9392707927013281,0.9384986433524269,0.9382986613657179
uniform,manhattan,kd_tree,30,204,0.9388785903432159,0.9384986433524269,0.9383547096686554
uniform,manhattan,kd_tree,50,231,0.9314333685023223,0.9303587579137775,0.9300811816963074
uniform,manhattan,kd_tree,100,285,0.9161630423237566,0.9140789870364787,0.9135598788971386
uniform,manhattan,brute,1,113,0.9661837442734182,0.96593307205306,0.9658776798231195
uniform,manhattan,brute,2,157,0.9535130892870457,0.9526680735604461,0.9527456120860635
uniform,manhattan,brute,3,146,0.9563558310983273,0.9559843231835996,0.9558926867939795
uniform,manhattan,brute,4,154,0.9536981102896039,0.9535725052758517,0.9536003731243603
uniform,manhattan,brute,5,168,0.9497233240466746,0.9493518239372928,0.9492420550940589
uniform,manhattan,brute,6,168,0.949358942948464,0.9493518239372928,0.9493550349775906
uniform,manhattan,brute,7,172,0.9486883702134666,0.9481459149834187,0.94801080079976
uniform,manhattan,brute,8,170,0.9487568214112646,0.9487488694603557,0.9487105808427361
uniform,manhattan,brute,9,174,0.9478444075845591,0.9475429605064818,0.9474381885620029
uniform,manhattan,brute,10,181,0.9454581138331515,0.9454326198372023,0.9453818934231357
uniform,manhattan,brute,15,187,0.9440147838253844,0.9436237564063913,0.9434942723981358
uniform,manhattan,brute,20,190,0.9428968075088981,0.9427193246909858,0.9426238678113803
uniform,manhattan,brute,25,202,0.9400226958553605,0.9391015978293639,0.9388860115979455
uniform,manhattan,brute,30,197,0.9412433025048256,0.9406089840217063,0.9404353277647839
uniform,manhattan,brute,50,231,0.9315435837497226,0.9303587579137775,0.9300670351177843
uniform,manhattan,brute,100,285,0.9162376499428522,0.9140789870364787,0.9135499076111372
