Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
uniform,manhattan,brute,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,brute,4,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,brute,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,brute,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,brute,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,manhattan,brute,8,3,0.8709677419354839,0.9032258064516129,0.8752688172043012
uniform,manhattan,brute,9,5,0.794162826420891,0.8387096774193549,0.8013685239491691
uniform,manhattan,brute,10,6,0.7000768049155145,0.8064516129032258,0.7429300012750224
uniform,manhattan,brute,15,6,0.6750561266690299,0.8064516129032258,0.7287878787878789
uniform,manhattan,brute,20,6,0.7288195675292449,0.8064516129032258,0.7524437927663735
uniform,manhattan,brute,25,7,0.6356296033715388,0.7741935483870968,0.6942527744235524
uniform,manhattan,brute,30,8,0.6142266335814723,0.7419354838709677,0.660752688172043
